,day,size,250,out_250,500,out_500,1000,out_1000,2000,out_2000
0,2024-03-01 00:00:00,30,0.22843705342014242,1,0.20506562146133467,0,0.45150942368313374,1,0.32362063408356845,1
0,2024-02-29 00:00:00,30,0.21968214197213848,2,0.09609411132360218,0,0.3350268121527945,1,0.13052213310621985,1
0,2024-02-28 00:00:00,30,0.19276142770276067,0,0.029561261395470627,0,0.3018243268997217,2,-0.0021713939131539936,0
0,2024-02-27 00:00:00,30,0.26227871799102276,0,0.24515634894936844,0,0.39498442958257196,0,0.16493038372533556,0
0,2024-02-26 00:00:00,30,0.2832104511185649,0,0.29669316178528937,0,0.46413223323908387,1,0.2359176665295357,1
0,2024-02-25 00:00:00,30,0.2724704367459822,0,0.36490183837405454,0,0.42091714586102275,1,0.17560004413717584,1
0,2024-02-24 00:00:00,30,0.33723804660533857,0,0.39152296216341287,0,0.30238371304182654,0,0.06082381715923263,1
0,2024-02-23 00:00:00,30,0.2519258755060985,0,0.24503141810174858,0,0.45414553155679377,0,0.20935767729987695,0
0,2024-02-22 00:00:00,30,0.31924162782367244,0,0.296027876257348,0,0.48320430934151093,0,0.34874026537917685,1
0,2024-02-21 00:00:00,30,0.3213258805425402,1,0.2014816775731712,0,0.4786992384866425,1,0.2890715426887863,2
0,2024-02-20 00:00:00,30,0.2589255334276822,0,0.2540100986099761,0,0.5299013241264539,0,0.42787814997066576,0
0,2024-02-19 00:00:00,30,0.270748858411696,1,0.2893735849499943,2,0.41734122897999565,0,0.19842338095378514,0
0,2024-02-18 00:00:00,30,0.35152968462011663,0,0.33253891874662667,0,0.4557114881935634,0,0.1625435476124362,0
0,2024-02-17 00:00:00,30,0.36948455493301036,0,0.3388256625385621,0,0.4544318907135543,0,-0.04548241609420983,0
0,2024-02-16 00:00:00,30,0.28952011768117236,0,0.31500325036007887,0,0.4035160730285205,0,0.24935957089430655,0
0,2024-02-15 00:00:00,30,0.3339262728161591,1,0.25616268515449514,2,0.5085922589090376,0,0.2384007398739735,0
0,2024-02-14 00:00:00,30,0.20865907319167193,0,0.18474231352598763,0,0.372813379204245,0,0.30658366083337374,0
0,2024-02-13 00:00:00,30,0.30243620594363385,2,0.3089671734010941,0,0.44450708834471214,0,0.2072305358543773,0
0,2024-02-12 00:00:00,30,0.24754701836997095,1,0.2442288862007604,0,0.3575820000216463,0,0.23406374788703044,0
0,2024-02-11 00:00:00,30,0.2591160402349036,0,0.24569240801880424,0,0.36913870678047345,0,0.26807958548594857,0
0,2024-02-10 00:00:00,30,0.24735742475359057,0,0.1711953451830787,2,0.4520078255418177,1,0.2394207536108033,0
0,2024-02-09 00:00:00,30,0.3301207335513586,0,0.2698550366603675,0,0.5017079875577805,0,0.2701924438067329,0
0,2024-02-08 00:00:00,30,0.2352387291029987,0,0.12445603101432358,0,0.42947611198837454,0,0.18337636864192397,0
0,2024-02-07 00:00:00,30,0.21246581706834097,1,0.16183714288051043,0,0.4196416991994279,0,0.013365593568412805,0
0,2024-02-06 00:00:00,30,0.19616328931221488,0,0.17235111143730977,0,0.40632617808906935,0,0.006629309227907105,1
0,2024-02-05 00:00:00,30,0.3555218666231907,0,0.4140275374600154,0,0.21172369101791863,0,-0.2546463582136649,0
