,day,size,250,out_250,500,out_500,1000,out_1000,2000,out_2000
0,2023-01-01 00:00:00,4,0,0.017995199926225367,0,0.07928932238286435,0,0.07076054306160619,0,0.17125667918882245
0,2023-01-02 00:00:00,1,0,0.06081453238196133,0,0.3724931274023646,0,-0.6324215329245391,0,0.42043324156760065
0,2023-01-03 00:00:00,4,0,0.11492173443000933,0,0.4879731609207582,0,0.4559173915329757,0,0.46798992481217533
0,2023-01-04 00:00:00,6,1,0.31573111457341024,1,0.35375477671195266,2,0.32320461217515895,0,0.12193351283781029
0,2023-01-05 00:00:00,13,0,0.17644569790409118,0,0.27001584556615293,0,0.35905437482727454,0,0.2294179657923415
0,2023-01-06 00:00:00,2,0,0.3527393724783731,0,0.3386118613270415,0,0.08219979696004474,0,0.13269822696272165
0,2023-01-07 00:00:00,9,0,0.22728797290601374,0,0.3246310597746463,0,0.24718315059373264,0,0.24189583473663065
0,2023-01-08 00:00:00,3,0,0.3672759103438995,0,0.36148872639292107,0,0.26792102257536,0,-0.011600486656069463
0,2023-01-09 00:00:00,10,0,0.12633084389136584,0,0.24843479003046404,0,0.16692321812295358,0,0.1650275062245305
0,2023-01-10 00:00:00,8,0,0.24107785682814464,1,0.1466423325992095,0,0.3102983122914935,0,0.1356286018330409
0,2023-01-11 00:00:00,35,0,0.23508850379726814,0,0.2554716556338479,0,0.2074721957834513,1,-0.06478724868827546
0,2023-01-12 00:00:00,35,1,0.207074893712301,0,0.26413625753996667,0,0.40859114860776685,0,0.3142390564041448
0,2023-01-13 00:00:00,48,1,0.21494791466034438,0,0.2638105477006402,0,0.35226767934882824,1,0.36199428641813963
0,2023-01-14 00:00:00,12,0,0.1987031611305538,0,0.29821602897005844,0,0.36606013857230596,0,0.3090384194049798
0,2023-01-15 00:00:00,3,0,0.1186792608476504,0,0.25902529004361075,0,0.16819651777278885,0,0.14282710183553168
0,2023-01-16 00:00:00,26,0,0.21429210469282226,0,0.25547135896955536,1,0.24676712378040214,0,-0.06430263132342118
0,2023-01-17 00:00:00,25,0,0.17596405170840018,1,0.1940577548550185,1,0.2826648748057158,0,0.06556811354043275
0,2023-01-18 00:00:00,21,0,0.1846488184561771,0,0.15270816291263808,0,0.2721779404317422,0,0.021180208626806644
0,2023-01-19 00:00:00,14,0,0.1970513575798268,0,0.17379126539798526,1,0.2625676101671389,0,0.18876971900123474
0,2023-01-20 00:00:00,23,0,0.1927060318044931,1,0.1752647602926631,0,0.2497513163045025,0,-0.12294099770297184
0,2023-01-21 00:00:00,13,0,0.29330361168161223,0,0.30376002770845045,0,0.2250495295063325,0,-0.15333554275770014
0,2023-01-22 00:00:00,10,0,0.1780491312892005,0,0.3261821829046714,0,0.3967980560580737,0,0.20774625011156403
0,2023-01-23 00:00:00,12,0,0.2945413295841438,0,0.21744113038017324,0,0.38522392714011666,0,0.08315573309120018
0,2023-01-24 00:00:00,24,0,0.20607280068147912,1,0.1658345777885226,0,0.2810906297066696,1,-0.0237514455396543
0,2023-01-25 00:00:00,9,0,0.09190378606839783,0,0.030935874354736895,0,0.28220186039642536,0,-0.10727602381832081
0,2023-01-26 00:00:00,26,1,0.15367047625161653,1,0.07375388961689718,1,0.3205330639563393,1,0.1908400640580386
0,2023-01-27 00:00:00,3,0,0.28459567353565035,0,0.47294274563489214,0,-0.27131154455066353,0,0.25992093873435435
0,2023-01-28 00:00:00,5,1,0.3548987802645063,0,0.4598544976324983,0,0.23409038635518561,0,0.21982602617475808
0,2023-01-29 00:00:00,4,0,0.1973559345345783,0,0.16876351740724443,0,0.02126526041433325,0,0.2076214345787437
0,2023-01-30 00:00:00,10,1,0.2139262149742843,0,0.08882656865826823,0,0.2563304738914553,0,0.04925138688455364
0,2023-01-31 00:00:00,24,1,0.16688862609102187,0,0.05787030117640333,0,0.35088181977444355,0,0.18971603811700402
0,2023-02-01 00:00:00,18,0,0.12779612985827277,1,0.13886638024268708,1,0.23593518898430205,0,0.10234664124833459
0,2023-02-02 00:00:00,22,0,0.14569068922617892,1,0.22236210804817788,0,0.15335570626316736,0,-0.2089582440775363
0,2023-02-03 00:00:00,21,0,0.17378895080870047,1,0.14802505090976978,3,0.34023546062078247,0,0.25467413703754377
0,2023-02-04 00:00:00,18,1,0.19850178112964442,0,0.24226054260831778,1,0.35468149952869477,0,0.27591635001199677
0,2023-02-05 00:00:00,7,0,0.1962166587003264,0,0.33274105321805725,1,0.5456787653573639,0,0.24477862040465298
0,2023-02-06 00:00:00,32,1,0.16950174581249014,0,0.12622485586106394,0,0.32297770085352695,1,0.10525109394474151
0,2023-02-07 00:00:00,34,0,0.18522857194987855,0,0.07971708953361219,0,0.3699994908457265,0,0.18166424252600796
0,2023-02-08 00:00:00,11,0,0.26120298502084943,0,0.06814523587148992,0,0.3550895792771429,0,0.14791601538678975
0,2023-02-09 00:00:00,7,0,0.11167924628259587,0,0.2673558965767645,1,0.32212524670926496,0,-0.025549055804342552
0,2023-02-10 00:00:00,7,0,0.21043890425987816,0,0.3056199899551675,0,0.24788704534250225,1,-0.10765903539804923
0,2023-02-11 00:00:00,2,0,0.20987654795013078,0,0.33288228784301077,0,-0.05520005985111451,0,-0.05559663906921182
0,2023-02-12 00:00:00,7,1,0.25899810697903697,0,0.21540224292436974,0,0.2796849877313548,0,0.06680337897932216
0,2023-02-13 00:00:00,52,0,0.1762938155583959,0,0.13676909340142926,1,0.3192859894240631,0,0.16307898640479432
0,2023-02-14 00:00:00,7,0,0.17020073828410678,0,0.04656155293693831,0,0.22470215520268655,0,0.22436264172882217
0,2023-02-15 00:00:00,16,0,0.14563419381798082,0,0.049591220293677754,0,0.33292762515042174,0,0.2766851538857497
0,2023-02-16 00:00:00,13,1,0.14998360122696985,0,0.11294395693421912,1,0.25165261963889785,0,0.021401321011600062
0,2023-02-17 00:00:00,8,0,0.16660995502319792,0,0.1935129128122819,1,0.39716878098368186,0,0.14187206059507518
0,2023-02-18 00:00:00,9,0,0.22816760306254713,0,0.34568426456396356,1,0.33196380976136763,0,0.17387887858332832
0,2023-02-19 00:00:00,9,0,0.1455515785293738,0,0.09917155917477963,0,0.31653724176495274,0,0.32693008043635413
0,2023-02-20 00:00:00,24,1,0.2578992499709141,0,0.3562366884537856,0,0.2577850108735657,0,-0.2031962165132961
0,2023-02-21 00:00:00,18,0,0.19622239078528037,0,0.06094999223566243,0,0.34340595707875443,0,0.21937821676047536
0,2023-02-22 00:00:00,22,1,0.20769128836634132,1,0.12779622604443625,0,0.34895125679775857,1,0.19468717496171892
0,2023-02-23 00:00:00,3,0,0.14014618887419122,0,0.40059311893494104,0,0.14168172023169903,0,0.072988429763476
0,2023-02-24 00:00:00,4,0,0.3062512891072501,0,0.05614259014936789,0,0.374357226071964,0,0.13620780130423357
0,2023-02-25 00:00:00,5,0,0.2193444850655331,0,0.27221675612043034,0,0.27539736069306237,0,0.2729721342844425
0,2023-02-26 00:00:00,15,0,0.13230181759672538,0,0.33148393284911903,0,0.35357528944631983,0,-0.1290706245067647
0,2023-02-27 00:00:00,8,0,0.21997622066801853,0,0.28353407052114615,1,0.4453862114653169,0,0.20638597789114704
0,2023-02-28 00:00:00,46,1,0.1625846402849123,0,0.22532248646990388,0,0.37745559337641216,0,0.32284986781135916
0,2023-03-01 00:00:00,46,0,0.20338131752431352,0,0.2103094548570217,0,0.42260608034052904,0,0.2836770951563891
0,2023-03-02 00:00:00,25,0,0.11609308512176732,2,0.09657623449070557,1,0.3021803361345241,0,0.14316546377148864
0,2023-03-03 00:00:00,16,1,0.16744879832130788,0,0.14775066367026593,0,0.33265220895828196,0,0.22906609198346467
0,2023-03-04 00:00:00,6,1,0.16802223999122884,0,0.2567493160137921,0,0.3581293201720874,0,0.1838759707277838
